model_family,device_type,technology_nm,application_type,W_um,L_um,temperature_C,VDS_V,VGS_V,ID_A,bias_label,comparison_basis,nominal_VDD_V,source_type,simulator,model_file_sha256,raw_file
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0250000000000001,1.006400256814e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0300000000000001,1.1512965660028341e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0350000000000001,1.317007543167646e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0400000000000001,1.506510496705877e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0450000000000001,1.7232059734223441e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.05,1.970977339405866e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.055,2.254258621026137e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.06,2.578111723571851e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.065,2.9483142902859204e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.07,3.371459627362289e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0750000000000001,3.855070302738995e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0800000000000001,4.407727230213791e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0850000000000001,5.0392162776670995e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0900000000000001,5.760694691229241e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.0950000000000001,6.584879908434141e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1000000000000001,7.526263645198408e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1050000000000001,8.601354486345744e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1100000000000001,9.8289525898808e-09,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1150000000000001,1.123046053380302e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1200000000000001,1.2830234793304e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1250000000000001,1.465598283798012e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1300000000000001,1.6739211385134512e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1350000000000001,1.9115731937942662e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1400000000000002,2.18262303772961e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,0.1450000000000002,2.4916908063884464e-08,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
